"Nº";"Disciplina";"Dificuldade";"Pergunta";"A";"B";"C";"D";"Correta"
"444";"Ciências";"Médio";"O que é a Lei da Gravitação Universal?";"F = ma";"Atração proporcional às massas";"E = mc²";"PV = nRT";"B"
"445";"Ciências";"Médio";"O que é fermentação?";"Respiração aeróbica";"Energia sem oxigênio";"Fotossíntese";"Digestão";"B"
"446";"Ciências";"Médio";"O que é a Tabela Periódica?";"Lista de organismos";"Organiza elementos químicos";"Tabela de reações";"Lista de compostos";"B"
"447";"Ciências";"Médio";"O que é homeostase?";"Reprodução celular";"Mantém equilíbrio interno";"Metabolismo acelerado";"Digestão";"B"
"448";"Ciências";"Médio";"O que são ondas eletromagnéticas?";"Precisam de meio material";"Campo elétrico e magnético";"Só luz visível";"Só ondas de rádio";"B"
"449";"Ciências";"Médio";"O que é E=mc²?";"Energia cinética";"Massa equivale a energia";"Lei da termodinâmica";"Força gravitacional";"B"
"450";"Ciências";"Médio";"O que é mutação genética?";"Reprodução normal";"Alteração no DNA";"Divisão celular";"Transcrição";"B"
"451";"Ciências";"Médio";"O que é a teoria celular?";"Todos os seres têm células como unidade básica";"Teoria sobre átomos";"Lei da termodinâmica";"Teoria gravitacional";"A"
"452";"Ciências";"Médio";"O que é difusão?";"Transporte ativo";"De maior para menor concentração";"Osmose";"Endocitose";"B"
"453";"Ciências";"Médio";"O que é a Lei dos Gases Ideais?";"Pressão e temperatura";"PV=nRT relaciona pressão, volume, T";"Lei gravitacional";"1ª lei termodinâmica";"B"
"454";"Ciências";"Médio";"O que é um anticorpo?";"Uma bactéria";"Proteína que combate antígenos";"Um vírus";"Um hormônio";"B"
"455";"Ciências";"Médio";"O que é o efeito Doppler?";"Reflexo da luz";"Mudança de frequência por movimento";"Difração sonora";"Refração";"B"
"456";"Ciências";"Médio";"O que é genótipo?";"Características visíveis";"Composição genética do organismo";"O ambiente";"O fenótipo";"B"
"457";"Ciências";"Médio";"O que é fenótipo?";"Os genes";"Expressão visível das características";"O DNA";"O cromossomo";"B"
"458";"Ciências";"Médio";"O que é a Lei de Mendel da Segregação?";"Genes se misturam";"Alelos se separam na formação dos gametas";"Genes dominantes";"Genes ambientais";"B"
"459";"Ciências";"Médio";"O que é biomassa?";"Massa de minerais";"Matéria orgânica viva no ecossistema";"Gases atmosféricos";"Litosfera";"B"
"460";"Ciências";"Médio";"O que é movimento browniano?";"Movimento planejado";"Movimento aleatório de partículas";"Movimento orbital";"Ondulatório";"B"
"461";"Ciências";"Médio";"O que é um hormônio?";"Enzima digestiva";"Regula funções fisiológicas";"Proteína estrutural";"Um anticorpo";"B"
"462";"Ciências";"Médio";"O que é pressão atmosférica?";"Temperatura do ar";"Peso da coluna de ar";"Umidade do ar";"Velocidade do vento";"B"
"463";"Ciências";"Médio";"O que é síntese proteica?";"Digestão de proteínas";"Produção de proteínas via DNA";"Respiração celular";"Fotossíntese";"B"
"464";"Ciências";"Médio";"O que é o ciclo do nitrogênio?";"Ciclo da água";"Circulação do nitrogênio no ambiente";"Ciclo do carbono";"Cadeia alimentar";"B"
"465";"Ciências";"Médio";"O que é o teorema de Bernoulli?";"Lei da viscosidade";"Velocidade maior, pressão menor";"Lei da gravidade";"Compressibilidade";"B"
"466";"Ciências";"Médio";"O que são raios-X?";"Ondas de rádio";"Radiação que penetra tecidos moles";"Luz visível";"Infravermelho";"B"
"467";"Ciências";"Médio";"O que é o empuxo (Archimedes)?";"Força gravitacional";"Força de fluido para cima";"Força de atrito";"Força elástica";"B"
"468";"Ciências";"Difícil";"O que é o princípio de Heisenberg?";"Medição ilimitada";"Posição e momento não medidos juntos";"Energia conservada";"Comportamento determinístico";"B"
"469";"Ciências";"Difícil";"O que é superposição quântica?";"Dois átomos no mesmo local";"Múltiplos estados simultâneos";"Tipo de ligação";"Fusão nuclear";"B"
"470";"Ciências";"Difícil";"O que é relatividade restrita?";"Gravidade curva espaço";"Leis físicas iguais em referenciais inerciais";"Tempo absoluto";"Massa e energia independentes";"B"
"471";"Ciências";"Difícil";"O que é dualidade onda-partícula?";"Ondas e partículas distintas";"Elétrons têm comportamento de onda e partícula";"Só fótons têm dualidade";"Só elétrons têm massa";"B"
"472";"Ciências";"Difícil";"O que é emaranhamento quântico?";"Partículas se repelem";"Estado de uma afeta outra à distância";"Força eletromagnética";"Fusão de partículas";"B"
"473";"Ciências";"Difícil";"O que é CRISPR-Cas9?";"Tipo de vírus";"Edição genética precisa de DNA";"Um hormônio";"Tipo de bactéria";"B"
"474";"Ciências";"Difícil";"O que é a força forte nuclear?";"Gravidade ampliada";"Mantém quarks nos prótons";"Força eletromagnética";"Van der Waals";"B"
"475";"Ciências";"Difícil";"O que é entropia termodinâmica?";"Energia total";"Medida da desordem do sistema";"Temperatura";"Pressão do sistema";"B"
"476";"Ciências";"Difícil";"O que é a equação de Schrödinger?";"Equação clássica";"Descreve evolução do estado quântico";"Lei gravitacional";"Equação de calor";"B"
"477";"Ciências";"Difícil";"O que é matéria escura?";"Matéria visível";"Não interage com luz, tem gravidade";"Buracos negros";"Estrelas apagadas";"B"
"478";"Ciências";"Difícil";"O que é deriva genética?";"Seleção natural";"Mudança aleatória em populações pequenas";"Mutação dirigida";"Especiação";"B"
"479";"Ciências";"Difícil";"O que é a constante de Planck?";"Constante gravitacional";"Relaciona energia do fóton à frequência";"Velocidade da luz";"Carga do elétron";"B"
"480";"Ciências";"Difícil";"O que é o paradoxo de Fermi?";"Problema quântico";"Vida extraterrestre provável, mas sem evidência";"Radioatividade";"Termodinâmica";"B"
"481";"Ciências";"Difícil";"O que é a hipótese de Gaia?";"Terra é ser vivo";"Terra e biosfera autorregulam condições";"Teoria geológica";"Teoria evolutiva";"B"
"482";"Ciências";"Difícil";"O que é RMN (ressonância magnética)?";"Tipo de raio-X";"Usa campos magnéticos para imagens";"Tipo de ultrassom";"Tomografia";"B"
"483";"Ciências";"Difícil";"O que é o modelo padrão?";"Modelo de Bohr";"Descreve partículas e forças fundamentais";"Lei da termodinâmica";"Relatividade geral";"B"
"484";"Ciências";"Difícil";"O que é epigenética?";"Mutações no DNA";"Expressão gênica sem mudar o DNA";"A genômica";"A proteômica";"B"
"485";"Ciências";"Difícil";"O que é buraco de Schwarzschild?";"Um asteroide";"Buraco negro não-rotacionante";"Estrela de nêutrons";"Um quasar";"B"
"486";"Ciências";"Difícil";"O que é a teoria das supercordas?";"Teoria sobre DNA";"Partículas são cordas vibrantes";"Teoria atômica clássica";"Relatividade especial";"B"
"487";"Ciências";"Difícil";"O que é condensado de Bose-Einstein?";"Reação nuclear";"Estado próximo do zero absoluto";"Tipo de plasma";"Transição normal";"B"
"488";"Ciências";"Difícil";"O que é a constante cosmológica?";"Velocidade da luz";"Energia do vácuo ou expansão";"Constante de Planck";"Constante gravitacional";"B"
"489";"Ciências";"Difícil";"O que é o efeito Compton?";"Reflexo de ondas";"Fótons espalhados por elétrons";"Difração de ondas";"Efeito fotoelétrico";"B"
"490";"Ciências";"Difícil";"O que é a teoria sintética da evolução?";"Teoria de Lamarck";"Darwin + genética mendeliana";"Teoria do criacionismo";"A epigenética";"B"
"491";"Ciências";"Difícil";"O que é a lei de Stefan-Boltzmann?";"Lei dos gases";"Potência irradiada ∝ T⁴";"Lei da gravidade";"Lei de Ohm";"B"
"492";"Ciências";"Difícil";"O que é o efeito Hall quântico?";"Fenômeno clássico";"Condutância quantizada em campo magnético";"Supercondutividade";"Efeito termoelétrico";"B"
"493";"Ciências";"Difícil";"O que é a equação de Drake?";"Equação química";"Estima civilizações tecnológicas";"Equação gravitacional";"Lei termodinâmica";"B"
"494";"Ciências";"Difícil";"O que é física do estado sólido?";"Sólidos geológicos";"Estuda propriedades físicas dos sólidos";"Termodinâmica de sólidos";"Mecânica clássica";"B"
"495";"Ciências";"Difícil";"O que é o teorema de Bell?";"Teorema gravitacional";"Correlações quânticas sem variáveis ocultas";"Lei da termodinâmica";"Princípio óptico";"B"
"496";"Ciências";"Difícil";"O que é astrofísica de altas energias?";"Estuda estrelas normais";"Buracos negros, pulsares, raios gama";"Estudo do Sol";"Cosmologia clássica";"B"
"497";"Ciências";"Difícil";"O que é o princípio antrópico?";"Terra é o centro";"Leis físicas compatíveis com observadores";"Lei evolutiva";"Princípio termodinâmico";"B"
"498";"Ciências";"Difícil";"O que é biologia sintética?";"Biologia tradicional";"Engenharia de sistemas biológicos";"Biologia molecular";"Genômica";"B"
"499";"Ciências";"Difícil";"O que é a constante de Hubble?";"Constante gravitacional";"Taxa de expansão do universo";"Velocidade da luz";"Constante de Planck";"B"
"500";"Ciências";"Difícil";"O que é o modelo ΛCDM?";"Modelo atômico";"Energia escura + matéria escura fria";"Modelo nuclear";"Modelo evolutivo";"B"
"501";"Ciências";"Difícil";"O que é o paradoxo do gato de Schrödinger?";"Experimento real";"Ilustra o problema da medição quântica";"Experimento de radioatividade";"Contradição lógica";"B"
"502";"Ciências";"Difícil";"O que é a lei de Fick?";"Lei gravitacional";"Difusão proporcional ao gradiente";"Lei eletromagnética";"Lei termodinâmica";"B"
"503";"Ciências";"Difícil";"O que é nanociência?";"Ciência de objetos grandes";"Manipulação em escala nanométrica";"Astronomia";"Geologia";"B"
"504";"Ciências";"Difícil";"O que é o efeito Meissner?";"Expansão por calor";"Expulsão de campo magnético no supercondutor";"Condutividade normal";"Piezoelétrico";"B"
"505";"Ciências";"Difícil";"O que é energia de ponto zero?";"Zero absoluto de energia";"Energia mínima do estado fundamental";"Energia cinética nula";"Energia potencial zero";"B"
"506";"Ciências";"Difícil";"O que é a lei de Hardy-Weinberg?";"Seleção natural";"Frequências alélicas constantes em equilíbrio";"Lei de Mendel";"Herança quantitativa";"B"
"507";"Ciências";"Difícil";"O que é a hipótese do mundo RNA?";"DNA surgiu primeiro";"RNA foi a primeira molécula autorreplicante";"Proteína surgiu primeiro";"Célula surgiu antes";"B"
"508";"Ciências";"Difícil";"O que é astroquímica?";"Astronomia clássica";"Moléculas e reações no espaço";"Química orgânica";"Geoquímica";"B"
"509";"Ciências";"Difícil";"O que é a massa do neutrino?";"Nêutrons sem massa";"Massa pequena — desafia o modelo padrão";"Partículas de luz";"Carregam carga elétrica";"B"
